"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 06/06/2023

Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 39.1042 North,-96.6042 East" 
Variable List: 
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
pet: pet (Grass Reference Evapotranspiration (ETo))
ppt: ppt (Precipitation)
soil: soil (Soil Moisture)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
********************************************************
Year,Month,aet(mm),PDSI(unitless),pet(mm),ppt(mm),soil(mm),tmax(degC),tmin(degC)
1958,1,2.1,-0.77,2.1,34.5,22.3,4.56,-6.96
1958,2,0,0.44,0,35.9,22.3,1.86,-8.81
1958,3,35.4,1.13,35.4,70.4,76.6,6.04,-3
1958,4,91,1.05,100.9,41,59.6,17.65,4.62
1958,5,113.6,0.56,139.6,87.4,29,25.16,11.76
1958,6,162.1,0.79,165.3,169,27.5,28.57,15.86
1958,7,162,2.86,162,265.2,76.6,29.64,18.41
1958,8,116.2,3.44,165,71.3,28.2,31.13,18.43
1958,9,129.8,4.12,129.8,187.7,76.6,26.97,14.73
1958,10,81.7,3.25,108.6,37.3,30.4,22.32,6.73
1958,11,48.6,2.69,69.9,40.7,20.5,14.9,0.92
1958,12,2.9,2.13,2.9,9.5,20.5,4.91,-6.89
1959,1,0,1.91,0,23.8,20.5,0.77,-10.99
1959,2,2.1,1.73,2.1,16.6,21.8,4.56,-6.84
1959,3,92.1,1.49,92.1,63.4,31.1,13.92,-0.47
1959,4,52.5,0.69,114.4,44.3,20.7,18.78,4.75
1959,5,131.8,1.34,131.8,177.1,57.2,24.63,12.8
1959,6,90.2,-1.28,173.5,63.3,27.1,30.09,17.09
1959,7,109.6,-1.04,177.2,106.8,19,30.17,17.5
1959,8,73.5,-1.54,204.8,73,14.8,33.58,20.81
1959,9,109.7,-1.3,134.2,112.7,12.2,27.09,13.54
1959,10,83.2,1.11,83.2,138.5,60.6,17.93,5.21
1959,11,34.8,-0.49,61.5,2.8,28.5,10.26,-4.41
1959,12,29.2,-1.09,42,24.6,22.7,9.03,-2.63
1960,1,0,-0.6,0,40.7,22.7,1.98,-8.22
1960,2,0,1.09,0,46.7,22.7,0.79,-8.96
1960,3,1.9,1.46,1.9,47.7,26.9,3.62,-7.5
1960,4,120.8,1.54,120.8,70.5,76.6,20.05,6.95
1960,5,127,0.89,153.8,85.3,30.6,24.17,9.83
1960,6,138.8,0.84,152.1,139.2,24.1,27.87,16.51
1960,7,98.5,0.74,171.6,96.9,17.6,30.57,18.08
1960,8,139.6,1.33,181.3,143.1,14,31.92,18.99
1960,9,87.7,0.96,131.4,89.8,11.7,28.69,14.07
1960,10,74.6,0.92,90.3,76.8,10,21.7,7.74
1960,11,6.1,-1.16,70.4,5.2,8.8,14.38,-0.8
1960,12,5.4,-1.03,5.4,28.9,9.1,5.32,-6.22
1961,1,0,-1.5,0,1.4,9.1,5.92,-10.04
1961,2,26.1,-1.28,26.1,26.6,21.5,8.08,-4.68
1961,3,66.9,0.65,66.9,103.7,62.8,12.23,0.21
1961,4,92,0.66,114,67.2,34.9,17.02,3.15
1961,5,126.3,1.54,126.3,184.7,76.6,21.55,9.69
1961,6,143.4,1.35,162.2,116.8,44.3,28.23,15.99
1961,7,139.5,1.63,189.7,126.4,24.8,32.01,18.65
1961,8,70.5,1.18,164.8,67,18,30.28,17.76
1961,9,115.9,2.31,115.9,198.6,76.6,24.56,11.55
1961,10,98.4,2.71,99.9,100.9,74.1,21.52,6.62
1961,11,50.7,3.25,50.7,64.1,76.6,9.99,-0.64
