"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 06/06/2023

Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 38.8542 North,-99.3125 East" 
Variable List: 
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
pet: pet (Grass Reference Evapotranspiration (ETo))
ppt: ppt (Precipitation)
soil: soil (Soil Moisture)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
********************************************************
Year,Month,aet(mm),PDSI(unitless),pet(mm),ppt(mm),soil(mm),tmax(degC),tmin(degC)
1958,1,9.2,-0.24,13.9,8.9,6.6,7.44,-6.52
1958,2,0,0.49,0,29.5,6.6,3.91,-8.04
1958,3,1.5,2.02,1.5,97.9,13.2,2.79,-6.34
1958,4,99.4,2.77,99.4,38.8,63.7,16.29,3.69
1958,5,130.2,3.21,150.2,101.4,29.7,24.99,11.63
1958,6,79.1,2.7,188.8,71.7,18.7,29.28,15.35
1958,7,168.1,4.19,192.1,171.9,14,30.18,17.96
1958,8,69.7,3.85,192.9,70.5,11.2,32.34,17.68
1958,9,45.7,3.08,165.7,46.2,9.4,28.97,14.44
1958,10,8,2.08,124.1,7.1,8.1,23.13,5.94
1958,11,19.6,1.66,73.9,19.6,7.2,14.66,-1.27
1958,12,7.1,1.39,7.2,7.2,7.2,6.83,-7.04
1959,1,0,1.35,0,11.6,7.2,3,-11.32
1959,2,2.6,1.3,2.6,11.2,7.2,5.44,-7.52
1959,3,58.4,1.14,91.6,40.7,6.4,13.53,-1.91
1959,4,24.7,-1.36,123.6,25.3,5.8,18.7,3.26
1959,5,101.4,-0.69,154.6,106.2,5.3,24.53,11.41
1959,6,45.9,-1.51,208.6,47.8,4.9,31.4,16.95
1959,7,84.9,-1.14,208.7,89,4.5,31.47,17.24
1959,8,54.1,-1.56,232.3,56.6,4.2,34.87,20.06
1959,9,86.1,-0.78,159.1,90.3,3.9,27.29,12.34
1959,10,97.8,2.07,103.7,102.7,3.7,18.58,4.45
1959,11,1,1.3,71.8,0.9,3.5,11.87,-4.92
1959,12,7.3,-1.31,50.4,7.5,3.3,9.9,-3.82
1960,1,0,0.88,0,34.5,3.3,2.06,-9.14
1960,2,0,1.88,0,46.5,3.3,0.22,-10.08
1960,3,4.2,2.14,4.2,33.7,10.4,4.81,-6.32
1960,4,140.2,2.75,140.2,53,18.3,20.86,6.13
1960,5,71.1,2.32,159.7,70.1,13.7,23.61,9.09
1960,6,97.1,2.49,173.2,99.4,11.1,28.45,15.34
1960,7,25.1,1.34,210.1,24.6,9.3,32.34,17.61
1960,8,71.7,1.21,213.9,74.1,8.1,33.22,17.6
1960,9,50.2,0.86,162.1,51.9,7.1,29.44,13.72
1960,10,49.7,1.09,115.4,51.6,6.4,22.12,7.24
1960,11,8.6,-0.51,75.4,8.4,5.8,14.38,-2.31
1960,12,5.1,0.38,5.1,22.4,5.8,5.39,-6.24
1961,1,4.4,-0.65,4.4,0.5,5.8,7.54,-8.95
1961,2,20,-0.86,41.6,7.4,5.3,9.96,-5.76
1961,3,43.6,-0.88,78.3,45.4,4.9,12.13,-0.65
1961,4,39.4,-1.18,119.7,41.1,4.5,17.17,1.96
1961,5,117.3,1.04,139.1,123.1,4.2,22.16,9.18
1961,6,111.8,1.59,178.3,117.4,3.9,29.25,15.53
1961,7,91.1,1.74,207.9,95.7,3.7,32.71,18.62
1961,8,111.9,2.75,173.7,117.5,3.5,30.58,17.77
1961,9,69.5,2.9,135.8,73,3.3,24.64,10.74
1961,10,26.5,2.41,112.7,27.7,3.1,22.05,5.05
1961,11,42.8,2.8,53.8,44.9,3,9.86,-2.43
1961,12,0,2.77,0,16.5,3,2.9,-9.02
1962,1,0,2.68,0,12.5,3,2.98,-10.78
1962,2,28.1,2.78,28.1,15.8,3,8.72,-6.01
1962,3,53,2.52,73.8,40.4,2.9,10.56,-3.68
1962,4,18.8,1.32,127.7,19.7,2.7,19.48,3.81
1962,5,35.8,-2.06,187.2,37.6,2.6,29.06,13.28
1962,6,137.4,-0.58,173,144.5,2.5,27.77,15.64
1962,7,150,2.58,196.6,157.8,2.4,31.19,18.39
1962,8,63.7,2.17,211.4,66.9,2.3,33.1,17.71
1962,9,55.5,2.13,129.4,58.3,2.2,25.07,12.77
1962,10,17.4,1.51,112.8,18.2,2.2,22.73,7.43
1962,11,12.1,1.02,68.1,12.6,2.1,13.58,-0.47
1962,12,8,-1.09,31.9,8.3,2,8.52,-5.44
1963,1,0,-1,0,8.6,2,0.47,-14.45
1963,2,9.8,-1.77,59.8,1.6,2,11.67,-6.21
1963,3,35.8,-2.1,101,37.6,1.9,15.77,0.23
1963,4,16.4,-3.04,143.4,17.2,1.8,22.32,5.61
1963,5,33,-3.71,162.4,34.7,1.8,25.8,12.13
1963,6,91.4,-3.4,218.8,96.1,1.7,32.1,17.78
1963,7,102.4,-2.75,241.4,107.8,1.7,34.94,20.82
1963,8,48.2,-2.96,213.9,50.7,1.7,33.62,18.91
1963,9,129.3,-1.08,158.9,136.1,1.6,28.72,15.58
1963,10,18.8,-1.56,143.2,19.7,1.6,26.93,10.4
1963,11,3.9,-2.11,84.1,4,1.5,16,-1.14
1963,12,0,-1.89,0,8.2,1.5,3.24,-10.08
1964,1,8.5,-2.22,24.4,0.5,1.5,9.6,-7.84
1964,2,5.6,-1.79,5.6,21.5,1.5,6.33,-7.35
1964,3,41.9,-1.89,86,28.4,1.5,12.16,-4.53
1964,4,26.5,-2.5,129.3,27.8,1.4,20.32,4.84
1964,5,57.3,-3.01,189.7,60.3,1.4,27.65,11.91
1964,6,90.6,-2.64,202.8,95.3,1.4,30.47,15.08
1964,7,40.4,-3.32,260.3,42.5,1.3,36.45,20.81
1964,8,44.5,-3.52,211.8,46.8,1.3,31.92,17.02
1964,9,50.5,-3.37,161.5,53.1,1.3,27.55,13.61
1964,10,4,-3.85,131.4,4.2,1.3,22.61,5.01
1964,11,38.7,-3.08,68.1,40.7,1.2,13.37,-0.4
1964,12,2.9,-2.76,2.9,9.7,1.2,6.13,-8.11
1965,1,7.7,-2.27,7.7,14.2,1.2,7.71,-7.83
