"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 06/06/2023

Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 38.8542 North,-100.9792 East" 
Variable List: 
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
pet: pet (Grass Reference Evapotranspiration (ETo))
ppt: ppt (Precipitation)
soil: soil (Soil Moisture)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
********************************************************
Year,Month,aet(mm),PDSI(unitless),pet(mm),ppt(mm),soil(mm),tmax(degC),tmin(degC)
1958,1,10.7,-0.11,12.7,10.8,5.7,8.46,-7.75
1958,2,6,0.29,6,16.1,5.7,6.42,-6.97
1958,3,1.6,2.04,1.6,71,9.3,3.28,-7.01
1958,4,103.4,3.75,103.4,41.4,16.9,16.01,2.28
1958,5,112.1,4.3,159.3,114.2,13.2,25.82,10.95
1958,6,77.9,4.07,200.1,79.6,10.9,29.91,14.25
1958,7,142.8,5.87,209.3,148.6,9.3,30.71,16.6
1958,8,76.8,5.92,202.9,79.6,8.2,32.82,16.65
1958,9,25.1,4.58,170.4,25.5,7.3,29.26,12.66
1958,10,8.4,3.69,123,8,6.5,23.01,3.79
1958,11,20.2,3.36,70.6,20.7,5.9,13.98,-3.39
1958,12,8.1,3,10.3,8.1,5.7,7.67,-7.23
1959,1,0,3.01,0,15,5.7,5.31,-10.77
1959,2,5.4,2.89,5.4,7,5.7,6.72,-7.52
1959,3,44.3,2.74,95.2,29.6,5.3,13.61,-3.61
1959,4,16.6,1.86,130,17.1,4.9,19.1,1.6
1959,5,62.9,1.38,159.8,65.9,4.6,24.53,9.59
1959,6,39.1,-1.66,221.5,40.8,4.3,32.35,15.78
1959,7,60.8,-1.56,232.8,63.8,4,32.53,16.04
1959,8,65.5,-1.19,224,68.7,3.8,34.26,18.16
1959,9,59.1,-0.78,159.5,62,3.6,26.82,10.12
1959,10,93.1,2.33,104.2,97.8,3.4,18.6,2.64
