"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 06/06/2023

Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 38.8542 North,-100.9792 East" 
Variable List: 
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
pet: pet (Grass Reference Evapotranspiration (ETo))
ppt: ppt (Precipitation)
soil: soil (Soil Moisture)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
********************************************************
Year,Month,aet(mm),PDSI(unitless),pet(mm),ppt(mm),soil(mm),tmax(degC),tmin(degC)
1959,11,1.1,1.51,68,0.9,3.2,12.16,-6.28
1959,12,7.7,0.83,45.6,8,3.1,10,-5.49
1960,1,0,1.5,0,26.7,3.1,3.57,-9.93
1960,2,0,2.47,0,38.4,3.1,0.76,-10.63
1960,3,26.1,2.94,26.1,18.6,13,7.69,-5.99
1960,4,89.3,3.72,151.7,45.8,10.8,21.62,4.54
1960,5,39.8,2.47,176.4,40.3,9.2,24.82,7.82
1960,6,74.9,2.38,195.1,77.7,8.1,29.75,14.12
1960,7,40.5,1.53,236.3,41.7,7.2,32.99,16.51
1960,8,22.6,-1.98,233.9,23.1,6.5,33.94,16.66
1960,9,32.7,-2.31,172.2,33.8,5.9,29.31,11.88
1960,10,39.4,-1.67,122.1,41,5.4,22.26,5.45
1960,11,5.3,-2.02,78.2,5.1,5,14.66,-3.53
1960,12,6,-1.3,6,20.9,5,6.41,-7.08
1961,1,7.4,-1.32,7.4,0,5,8.6,-9.08
1961,2,12.4,-1.55,54.3,5.5,4.7,11.25,-5.85
1961,3,25.4,-1.62,88.1,26.4,4.4,13.01,-2.01
1961,4,24.5,-1.76,123.4,25.5,4.1,17.21,0.57
1961,5,92,-1.14,153.1,96.5,3.9,23.1,8.1
1961,6,86.8,-0.61,191.1,91.2,3.6,30.05,14.24
1961,7,70.7,0.26,219.7,74.3,3.5,33.05,17.34
1961,8,86.5,1.88,189.5,90.9,3.3,31.73,17.06
1961,9,61.6,2.12,148.7,64.6,3.1,24.83,8.92
1961,10,23.3,1.88,117.8,24.4,3,21.71,2.9
1961,11,36,2.48,46.8,37.7,2.9,9.34,-4.18
1961,12,0,2.5,0,13.3,2.9,4.05,-9.45
1962,1,0,2.43,0,10.6,2.9,3.43,-11.64
1962,2,27.3,2.29,45,4.4,2.8,10.52,-6.44
1962,3,28.6,1.93,86.7,30,2.6,12.27,-5.14
1962,4,15.4,1,138.1,16.2,2.6,20.37,3.3
1962,5,61.4,-1.49,197.5,64.6,2.5,29.18,11.14
1962,6,104.9,0.91,183.5,110.3,2.4,28.38,14.07
1962,7,93.6,1.66,218.6,98.4,2.3,32.36,17.3
1962,8,43.3,1.16,219.8,45.5,2.2,33.99,16.63
1962,9,44.6,1.09,142,46.9,2.1,25.99,11.14
1962,10,9.5,0.57,121.5,9.9,2.1,23.36,5.21
1962,11,12.4,-0.2,68.9,12.9,2,13.7,-1.55
1962,12,4.4,-1.25,38.9,4.6,2,9.62,-5.97
1963,1,0,-0.98,0,10.9,2,1.47,-14.58
1963,2,11.9,-1.54,67.8,1.5,1.9,12.81,-5.54
1963,3,25.5,-1.81,108.4,26.8,1.9,15.81,-1.05
1963,4,7.6,-2.73,156.3,8,1.8,22.77,4.22
1963,5,48.1,-3.26,178.7,50.6,1.8,26.76,10.85
1963,6,55,-3.57,235.9,57.8,1.7,32.72,16.29
1963,7,75.8,-3.1,259.6,79.8,1.7,35.87,19.33
1963,8,33.6,-3.33,216.2,35.4,1.6,33.65,17.97
1963,9,118.4,-1.19,165,124.6,1.6,29.1,14.4
1963,10,3.8,-1.74,142.3,3.9,1.6,26.79,8.18
1963,11,5,-2.13,82.7,5.2,1.5,15.81,-2.72
1963,12,0,-1.74,0,10.4,1.5,3.8,-10.69
1964,1,10.2,-2.06,29.1,0,1.5,10.29,-8.25
1964,2,4.4,-1.52,4.4,16.7,1.5,5.99,-7.51
1964,3,23.8,-1.67,88.8,12.8,1.5,12.3,-5.68
1964,4,23.5,-1.97,135.9,24.7,1.4,19.82,3.18
1964,5,114.7,-1.24,192.3,120.8,1.4,27.42,9.92
1964,6,53.6,-1.62,216.8,56.4,1.4,30.64,13.56
1964,7,32.6,-2.56,269.3,34.3,1.3,36.33,19.1
1964,8,21.5,-3.25,232.4,22.6,1.3,32.82,15.83
1964,9,38.4,-3.27,167.9,40.4,1.3,27.78,11.9
1964,10,3.7,-3.56,134.4,3.8,1.3,23.03,3.25
1964,11,16.5,-3.26,68.1,17.3,1.2,13.19,-2.39
1964,12,3.6,-3.08,5.5,3.6,1.2,7.91,-8.93
1965,1,7.3,-3.23,25.3,7.5,1.2,9.64,-7.63
1965,2,3.8,-2.75,3.8,10.8,1.2,7.45,-9.39
1965,3,7.2,-2.1,7.2,13.4,1.2,7.38,-8.42
1965,4,20.4,-2.46,141.2,8.6,1.2,22.01,4.42
1965,5,65,-2.77,192,68.4,1.2,26.7,9.85
1965,6,163.4,2.17,187.9,172,1.1,28.15,14.37
1965,7,45.2,1.45,231.3,47.5,1.1,33.39,17.92
1965,8,86.3,2.25,197.7,90.8,1.1,31.17,15.53
1965,9,100.6,3.72,122.2,105.9,1.1,23.16,8.6
1965,10,94.3,5.15,121.5,99.2,1.1,22.8,4.98
1965,11,0.4,3.99,71,0.4,1.1,15.45,-0.7
1965,12,18.1,3.67,30.5,18.9,1,8.68,-5.77
1966,1,0,3.47,0,12.1,1,2.32,-12.09
1966,2,1.6,3.43,1.6,13.1,1,4.81,-8.49
1966,3,24.9,2.56,107.1,2.6,1,16.38,-2.18
1966,4,19.6,1.82,126,20.6,1,18.23,1.4
1966,5,6.8,-2.75,191.9,7.2,1,27.33,7.93
1966,6,58.3,-2.9,218.8,61.3,1,31.05,14.84
1966,7,100.4,-1.76,242.7,105.6,1,34.91,19.99
1966,8,58.9,-1.3,193.3,62,1,29.93,15.5
1966,9,59.2,-0.89,157.7,62.3,0.9,27.42,11.05
1966,10,14.9,-1.1,130,15.6,0.9,22.21,2.71
1966,11,2.8,-1.5,66.8,3,0.9,13.91,-3.58
1966,12,1.8,-1.16,1.8,11.6,0.9,5.9,-9.38
1967,1,13,-1.03,13,5.8,0.9,8.17,-7.35
1967,2,2.5,-1.68,60,0.4,0.9,11.74,-7.16
1967,3,1.8,-2.55,107.1,1.9,0.9,17.81,-2.13
1967,4,36.1,-2.45,145,38,0.9,21.34,4.31
1967,5,100.6,-1.49,149.8,105.9,0.9,22.48,6.82
1967,6,143.2,2.42,175.6,150.7,0.9,27.98,13.69
1967,7,62.5,2.41,192.6,65.8,0.8,30.67,16.79
1967,8,51.7,2.26,189.8,54.4,0.8,31.11,14.96
1967,9,38.4,1.86,144.7,40.4,0.8,26.92,10.27
1967,10,5,1.1,129.3,5.2,0.8,23.54,3.41
1967,11,7.1,0.65,65.3,7.5,0.8,13.26,-4.06
1967,12,3.4,0.68,3.4,9.7,0.8,6.52,-8.31
1968,1,3.1,-0.21,3.1,0.8,0.8,7.36,-9.15
1968,2,7.2,-1.03,27.8,3.5,0.8,9.88,-7.7
1968,3,7.6,-1.87,112.2,8,0.8,17.39,-2.38
1968,4,22.9,-2.17,139.1,24.1,0.8,20.3,1.9
1968,5,64.8,-1.94,139.3,68.3,0.8,21.88,6.45
1968,6,66.6,-2.01,216.5,70.1,0.8,32.35,14.95
1968,7,89.5,-1.07,220.6,94.2,0.8,32.97,17.35
1968,8,72.7,1.25,198.6,76.6,0.7,31.65,16.43
1968,9,25.3,-0.73,170.8,26.6,0.7,28.98,10.06
1968,10,20.8,-0.82,132.8,21.9,0.7,24.04,4.14
1968,11,12.2,-0.85,58.5,12.8,0.7,11.2,-2.75
1968,12,0,0.22,0,11.8,0.7,3.58,-10.04
1969,1,1.7,-0.17,1.7,1.5,0.7,5.11,-8.04
1969,2,22.5,0.45,22.5,16,0.7,7.68,-5.5
1969,3,14.5,1.08,14.5,27.9,0.7,7.17,-6.72
1969,4,82.4,2.39,130.2,69.7,0.7,20.88,4.83
1969,5,76.5,2.27,151,80.5,0.7,24.66,10.35
1969,6,71.7,2.25,176.3,75.5,0.7,27.82,11.89
1969,7,71.5,2.3,214.6,75.2,0.7,34.21,18.59
1969,8,77.4,2.78,196.4,81.4,0.7,32.26,17.76
1969,9,50.1,2.63,146.3,52.7,0.7,27.93,13.37
1969,10,69.3,3.77,83.5,72.9,0.7,15.26,3.21
1969,11,3.9,2.88,68,4.1,0.7,14.57,-2.77
1969,12,8,2.46,15.5,8.2,0.7,7.26,-5.77
1970,1,1.6,1.96,1.6,1.8,0.7,6.07,-9.86
1970,2,0.2,0.78,67.3,0,0.7,13.86,-6.58
1970,3,28.5,0.9,53.3,29.9,0.6,9.24,-5.29
1970,4,30.7,0.6,129.1,32.3,0.6,18.95,1.51
1970,5,45.3,-2.24,189.3,47.7,0.6,28.09,9.63
1970,6,64.4,-2.27,215.8,67.8,0.6,30.63,13.49
1970,7,55.5,-2.33,239.5,58.4,0.6,34.3,17.44
1970,8,52.4,-2.15,215.1,55.2,0.6,34.91,17.4
1970,9,69.6,-1.37,160.7,73.2,0.6,27.48,10.04
1970,10,25.8,-1.08,101.5,27.2,0.6,17.82,2.69
1970,11,7.1,-1.35,66.7,7.5,0.6,12.59,-3.35
1970,12,0.4,-1.89,35,0.4,0.6,10.63,-7.77
1971,1,2.2,-1.7,2.2,8.3,0.6,6.38,-9.67
1971,2,6.1,-0.65,6.1,29.5,1.5,6.85,-7.6
1971,3,32,-0.9,96.8,5.3,1.4,13.87,-3.36
1971,4,44.3,-0.67,138,46.6,1.4,19.59,3.24
1971,5,83.3,0.14,166.1,87.6,1.4,23.32,7.4
1971,6,42.3,-0.75,209.9,44.5,1.3,32.91,15.63
1971,7,74.5,0.22,242,78.4,1.3,32.71,16.44
1971,8,38.1,-0.86,218.5,40,1.3,32.43,16.43
1971,9,33.8,-1.19,163.1,35.6,1.3,27.44,9.8
1971,10,30.9,-0.91,121,32.5,1.2,22.24,4.68
1971,11,37.7,0.68,65.6,39.7,1.2,12.77,-1.93
1971,12,7.5,-0.15,18,7.7,1.2,6.94,-5.26
1972,1,0,-0.09,0,4.9,1.2,6.14,-10.5
1972,2,6,-0.86,56.6,1.3,1.2,11.8,-7.53
1972,3,4.7,-1.95,129.3,4.9,1.2,19.62,-1.53
1972,4,16.9,-2.46,144.9,17.7,1.1,20.76,2.99
1972,5,113.6,-1.31,157.1,119.6,1.1,24.18,8.97
1972,6,83.2,-0.93,201.7,87.6,1.1,30.98,15.09
1972,7,99,1.97,216,104.1,1.1,31.52,16.8
1972,8,87.2,2.74,194.6,91.8,1.1,30.98,16.31
1972,9,43.1,2.38,150.5,45.3,1.1,27.15,11.75
1972,10,8.9,1.79,109.2,9.4,1,19.25,4.52
1972,11,27.9,3.16,27.9,56.5,21.4,7.03,-3.65
1972,12,0,3.09,0,10.5,21.4,2.1,-10.45
1973,1,0,3.11,0,12,21.4,4.26,-8.44
1973,2,31.4,3.18,32.8,3.8,20.9,9.08,-6.01
1973,3,67.9,5.17,67.9,113.5,60.8,12,0.52
1973,4,75.6,6.34,118.1,42.2,25.3,16.96,1.02
1973,5,62.4,5.22,171.2,57.5,17.6,23.64,7.55
1973,6,40.6,3.81,220.5,38.6,13.6,31.98,13.59
1973,7,94.5,4.26,221.6,96.9,11.2,33.2,17.04
1973,8,33.4,3.21,222.2,33.4,9.5,34.61,17.03
1973,9,124.2,5.19,127.7,130.2,9,23.83,10.88
1973,10,16.9,4.75,110.9,16.6,7.9,22.94,4.76
1973,11,20.7,4.43,59,20.8,7.1,11.66,-2.32
1973,12,5.1,4.68,5.1,25.8,7.1,6.56,-7.54
1974,1,0,4.21,0,4.9,7.1,2.72,-11.07
1974,2,27.6,3.67,61.2,2.9,6.4,12.43,-6.13
1974,3,24.8,2.85,108,25.5,5.8,16.34,-1.17
1974,4,35.1,2.38,144.1,36.5,5.3,21.1,3.76
1974,5,25.8,0.75,185.4,26.8,5,27.61,10.01
1974,6,80,0.71,222.3,83.9,4.6,31.06,13.58
1974,7,21.9,-2.78,249.5,22.7,4.3,36.12,18.31
1974,8,37.4,-2.85,206,39.1,4.1,30.14,14.9
1974,9,14.7,-3.42,154.5,15.2,3.8,25.89,7.62
1974,10,43.7,-2.61,126.5,45.8,3.6,22.83,5.82
1974,11,15.8,-2.4,66.1,16.4,3.4,12.67,-2.85
1974,12,4.5,-2.1,4.5,8.5,3.4,7.52,-8.76
1975,1,6.2,-2.12,10.9,2.2,3.3,8.36,-7.93
1975,2,2.9,-1.85,2.9,7,3.3,6.62,-9.11
1975,3,21.6,-1.92,81,18.5,3.1,11.22,-4.51
1975,4,31.3,-1.93,132.3,32.8,3,19.31,2.25
1975,5,107.3,-1.09,167.4,112.9,2.9,25.2,8.21
1975,6,106.6,1.43,191.9,112.1,2.7,29.3,13.26
1975,7,37.4,-0.86,255.5,39.2,2.6,33.7,16.99
1975,8,37.3,-1.18,207.6,39.2,2.5,34.29,16.81
1975,9,27.2,-1.65,163.1,28.5,2.4,27.22,9.84
1975,10,0.4,-2.24,139.9,0.4,2.4,25.01,3.1
1975,11,55.8,-0.63,55.9,58.8,2.4,11.83,-4.18
1975,12,1.1,-0.85,33.3,1.1,2.3,8.85,-5.31
1976,1,3.6,-1.05,7.5,3.6,2.2,8.26,-8.81
1976,2,5.6,-1.85,74.5,5.8,2.1,15.1,-4.28
1976,3,9.4,-2.43,103.1,9.8,2.1,14.65,-3.27
1976,4,55.9,-1.74,140.8,58.8,2,20.35,4.97
1976,5,40.2,-2.5,176.7,42.3,2,23.48,7.5
1976,6,22.5,-3.6,232.5,23.6,1.9,31.85,13.32
1976,7,51.2,-3.73,254.5,53.8,1.8,33.83,17.68
1976,8,19.8,-4.38,235,20.8,1.8,34.14,16.22
1976,9,98.3,-2.74,175,103.4,1.8,27.42,11.05
1976,10,24.4,-2.45,120.8,25.6,1.7,18.25,1.06
1976,11,4.7,-2.75,76.6,4.9,1.7,12.11,-5.93
1976,12,0.3,-3.08,30.4,0.3,1.6,9.98,-7.85
1977,1,0,-2.64,0,10.7,1.6,2.7,-12.77
1977,2,11.1,-3.13,74.6,0.9,1.6,13.45,-5.47
1977,3,17.2,-3.37,100.1,18.1,1.6,15.46,-2.38
1977,4,72.8,-2.05,137.7,76.6,1.5,20.76,5.63
1977,5,104,-1.26,165.8,109.4,1.5,26.15,11.65
1977,6,42.7,-2.13,245.9,44.9,1.5,32.95,16.22
1977,7,56.1,-2.28,255.4,59.1,1.4,35.09,18.98
1977,8,95.6,-1.02,222.1,100.6,1.4,31.31,16.91
1977,9,17.3,-1.82,164.9,18.2,1.4,29.97,12.52
1977,10,6,-2.15,126.8,6.2,1.3,22.99,4.28
1977,11,15.3,-2,65.3,16.1,1.3,13.37,-2.6
1977,12,4.6,-2.18,25.2,4.7,1.3,9.63,-7.83
1978,1,0,-1.94,0,7.7,1.3,0.61,-13.36
1978,2,0,-1.11,0,24.1,1.3,0.51,-11.84
1978,3,40.9,-1.24,102.5,11.1,1.3,14.3,-2.66
1978,4,17.1,-1.74,135.1,18,1.2,20.96,4.13
1978,5,125.9,1.26,151.8,132.5,1.2,22.83,8.5
1978,6,77.5,1.25,201.7,81.5,1.2,30.77,15.2
1978,7,47.2,-0.62,257.7,49.7,1.2,35.76,18.19
1978,8,48.4,-0.64,207.5,51,1.2,33.21,15.5
1978,9,11.3,-1.71,174.1,11.8,1.1,30.84,12.21
1978,10,13.1,-1.9,135.6,13.7,1.1,23.46,3.39
1978,11,29.8,-1.24,60.3,31.3,1.1,10.55,-2.61
1978,12,0,-0.93,0,10.5,1.1,5.34,-10.13
1979,1,0,1.45,0,29.8,1.1,-2.14,-15.03
1979,2,2.2,1.34,2.2,2.1,1.1,6.89,-10.03
1979,3,95.1,2.31,96.2,59.9,1.1,13.93,-0.91
1979,4,33.6,2.03,134.2,35.3,1.1,19.87,3.43
1979,5,72.6,1.87,156.1,76.4,1.1,23.26,7.68
1979,6,57.8,1.45,193.5,60.9,1,30.47,13.45
1979,7,97.7,2.38,205.2,102.8,1,33.25,17.81
1979,8,58.8,2.44,191,61.8,1,31.44,15.26
1979,9,6,0.95,170.1,6.3,1,30.63,11.48
1979,10,49.6,1.38,147.4,52.2,1,24.44,4.38
1979,11,10.4,1.19,48,11,1,9.67,-4.38
1979,12,17,0.96,42.3,17.8,1,10.65,-5.64
1980,1,0,1.41,0,21.2,1,2.83,-8.58
1980,2,5,1.84,5,19,1.7,6.36,-7.33
1980,3,71.1,3.2,71.1,69.1,25.9,9.99,-3.99
1980,4,56.9,3.92,121.5,48.4,17.8,18.18,2.6
1980,5,82,3.73,149.9,82.1,13.8,23.06,8.17
1980,6,71.4,3.23,208.7,72.5,11.3,32.72,15.16
1980,7,26.5,1.69,261.6,26.1,9.6,37.67,19.25
1980,8,79.6,2.07,228.7,82.5,8.4,34.18,17.59
1980,9,23.5,1.06,172.6,23.7,7.4,29.73,11.85
1980,10,11,-1.63,132.4,10.7,6.7,23.04,2.43
1980,11,6.1,-1.93,73,5.8,6,15.32,-2.65
1980,12,6.9,-2.44,57.9,6.7,5.5,11.78,-5.58
1981,1,7.5,-2.71,28.5,7.3,5.1,9.86,-7.34
1981,2,2.2,-3.12,49.9,2,4.8,11.99,-7.92
1981,3,64.7,-2.11,96.6,67.7,4.4,14.47,-1.32
1981,4,47.1,-1.89,159.4,49.3,4.2,24.47,6.4
1981,5,127.5,1.85,154.1,133.9,3.9,22.13,7.71
1981,6,16.8,-1.44,224.3,17.4,3.7,32.89,15.29
1981,7,89.5,0.77,217,94.1,3.5,33.43,18.2
1981,8,29.9,-0.38,177.6,31.3,3.3,31.59,15.58
1981,9,41,-0.58,161.8,43,3.2,29.52,10.74
1981,10,13.2,-0.78,113.8,13.7,3,20.3,4.45
1981,11,35.3,0.55,69.1,37,2.9,14.85,-1.22
1981,12,3.7,-0.26,14.5,3.7,2.8,7.9,-6.85
1982,1,0,-0.11,0,4.3,2.8,5.15,-11.87
1982,2,1.6,0.66,1.6,21.8,2.9,6.34,-9.94
1982,3,41.4,0.62,93.6,19,2.8,14.17,-2.9
1982,4,20.6,-0.54,136.1,21.5,2.7,19.29,1.42
1982,5,77.8,0.27,138.6,81.8,2.6,23.99,9.17
1982,6,134.2,1.91,170.9,141.2,2.5,26.59,12.16
1982,7,66.1,1.88,212.3,69.5,2.4,33.73,17.27
1982,8,25.3,1.06,195.4,26.5,2.3,33.08,17.24
1982,9,37.8,0.69,155.8,39.7,2.2,28.11,11.29
1982,10,38.4,1,118.7,40.3,2.2,21.73,3.49
1982,11,7.5,0.61,60.2,7.8,2.1,12.14,-4.43
1982,12,13.7,1.32,13.7,31.5,4.8,8.23,-6.97
1983,1,3.5,1.24,3.5,6.2,4.8,5.09,-5.97
1983,2,36.3,1.73,40.8,21,4.5,9.14,-4.08
1983,3,37,1.84,70.7,38.7,4.2,11.4,-1.43
1983,4,45.3,2.08,106.8,47.4,4,15.15,0.99
1983,5,70.1,1.85,149.5,73.5,3.8,22.41,6.58
1983,6,112.7,2.83,167.8,118.4,3.6,28.39,13.32
1983,7,12.8,1.03,253.6,13.3,3.4,36.24,18.51
1983,8,18,-2.38,225.1,18.8,3.2,37.29,19.45
1983,9,28.3,-2.96,193.1,29.6,3.1,30.98,12.55
1983,10,15,-2.88,116.7,15.7,2.9,21.86,5.62
1983,11,31.5,-2.02,54.8,33,2.8,12.54,-1.96
1983,12,0,-1.55,0,13,2.8,-2.02,-13.24
1984,1,0,-0.99,0,16.2,2.8,3.71,-9.79
1984,2,41.1,-0.56,53,13.8,2.7,10.8,-4.37
1984,3,64.5,2.06,77.1,67.8,2.6,10.73,-3.48
1984,4,95.1,4.03,95.1,106.1,8.3,14.65,1.7
1984,5,49.4,3.14,165.2,51,7.4,24.15,9.17
1984,6,52.3,2.4,197.6,54.2,6.6,31.25,14.22
1984,7,54.5,1.91,229.7,56.7,6,34.32,17.12
1984,8,36.2,1.28,206.3,37.6,5.5,34.77,17.12
1984,9,11.4,-2.25,168.6,11.6,5.1,27.47,9.69
1984,10,85.4,1.81,85.5,89.9,5.1,17.71,4.45
1984,11,4,1.39,75,3.8,4.7,14.03,-2.51
1984,12,7.4,1.9,7.4,25.5,4.7,6.98,-7.2
1985,1,0,2.48,0,25.6,4.7,2.18,-10.68
1985,2,1.5,2.5,1.5,9.7,5.4,5.46,-9.2
1985,3,59.1,2.27,100.2,11.1,5,15.89,-1.42
1985,4,40.4,2.17,138.5,42.1,4.7,22.3,4.97
1985,5,82.4,2.07,169.9,86.4,4.4,26.06,10.21
1985,6,24.6,0.75,213.3,25.6,4.1,30.93,12.72
1985,7,82.2,1.24,220.8,86.3,3.9,34.36,17.75
1985,8,66,1.52,202.1,69.3,3.6,31.63,16.13
1985,9,69.9,2.17,132.3,73.4,3.5,25.73,10.45
1985,10,25.9,2.1,102,27.1,3.3,19.74,3.44
1985,11,13.2,2.17,17.6,13.4,3.1,6.96,-5.7
1985,12,0,2.15,0,11,3.1,4.74,-9.46
1986,1,10.6,0.79,63.9,0,3,13.73,-5.64
1986,2,6.1,-1.55,49.2,6.3,2.9,10.5,-6.09
1986,3,10,-2.29,114,10.4,2.8,18.81,0.09
1986,4,26,-2.54,150.6,27.3,2.6,22.59,3.99
1986,5,37.8,-3.23,171.4,39.7,2.5,25.83,8.61
1986,6,101.8,-2.15,190.2,107,2.5,31.66,15.63
1986,7,62.4,-1.95,229.1,65.6,2.4,35.16,18.27
1986,8,43.1,-1.93,200.1,45.3,2.3,32.29,16.29
1986,9,61.9,-1.34,153.2,65.1,2.2,28.46,12.4
1986,10,44.7,1.33,99.9,47,2.1,20.36,4.65
1986,11,13.1,1.02,68.1,13.7,2.1,12.81,-4.16
1986,12,14.1,1.11,14.1,15.9,2.1,7.94,-6.54
1987,1,9.5,0.92,11.9,8.3,2,7.68,-6.86
1987,2,25.9,0.86,55.8,27.2,2,11.37,-2.81
1987,3,68.5,1.76,77.3,72.1,1.9,12.31,-2.45
1987,4,21.1,1.04,136.3,22.2,1.9,20.91,2.87
1987,5,95.7,1.43,155.3,100.7,1.8,25.93,11.18
1987,6,74.4,1.36,199.1,78.3,1.8,32.2,14.63
1987,7,79,1.59,234,83.1,1.7,33.81,17.21
1987,8,58.2,1.72,186,61.2,1.7,31.91,16.27
1987,9,24.9,1.02,145.2,26.2,1.6,28.98,10.56
1987,10,3.8,-1.06,129.1,3.9,1.6,22.13,2.44
1987,11,18.1,-0.88,58.8,19,1.6,13.77,-1.55
1987,12,8.7,-0.61,8.7,13.5,1.6,7.38,-7.03
1988,1,0,0.47,0,18.8,1.6,2.73,-11.44
1988,2,16.3,0.87,16.3,4.1,1.6,8.66,-7.65
1988,3,15.6,-0.62,103.2,5.6,1.5,14.83,-3.27
1988,4,41.2,0.04,138.8,43.4,1.5,19.46,1.58
1988,5,84.1,0,177.5,88.5,1.5,26.39,9.63
1988,6,31.5,-1.53,227.2,33.2,1.4,34.2,16.19
1988,7,56.4,-1.51,226,59.4,1.4,34.35,17.13
1988,8,31.5,-1.98,218.3,33.2,1.4,34.42,17.28
1988,9,68.9,-1.27,164.3,72.5,1.3,27.75,10.98
1988,10,3.3,-1.67,115,3.5,1.3,21.04,3.45
1988,11,7.2,-1.93,74.5,7.5,1.3,14.72,-2.7
1988,12,4.4,-2.44,49.8,4.6,1.3,11.25,-7.02
1989,1,7.4,-2.73,28.3,7.7,1.2,10.79,-7.97
1989,2,0,-2.4,0,6.3,1.2,3.23,-11.13
1989,3,21.3,-2.61,96,16.1,1.2,15.41,-3.84
1989,4,12.3,-3.23,146,12.9,1.2,22.83,3.37
1989,5,101.4,-2.46,175.5,106.7,1.2,25.09,9.44
1989,6,121.7,-0.86,173.8,128,1.2,27.49,12.51
1989,7,55.9,-0.88,214.8,58.8,1.1,33.36,16.92
1989,8,64.8,1.81,180,68.2,1.1,31.11,16.66
1989,9,62.7,2.05,152.7,66,1.1,26.55,9.96
1989,10,7.9,1.35,128.1,8.3,1.1,23.33,3.37
1989,11,0.1,-1.19,83.3,0.1,1.1,15.68,-3.86
1989,12,0,-0.99,0,8,1.1,4.88,-10.77
1990,1,15.7,0.59,15.7,23.6,1.1,8.63,-7.28
1990,2,21,1.18,21,16.4,1.1,7.54,-5.84
1990,3,41.8,1.3,85.3,34.3,1.1,14.39,-0.97
1990,4,46.1,1.4,133,48.5,1,19.81,3.44
1990,5,117.2,2.3,152.1,123.3,1,22.61,7.54
1990,6,31.8,0.88,233,33.4,1,33.72,15.64
1990,7,73.4,1.14,219.1,77.2,1,33.09,16.87
1990,8,64.5,1.4,196.6,67.9,1,33.32,16.39
1990,9,37.3,0.89,163.8,39.2,1,30.45,12.95
1990,10,13.5,-0.35,132,14.2,1,22.52,3.17
1990,11,18.3,-0.91,80,19.3,0.9,16.55,-1.42
1990,12,0,-0.68,0,9.6,0.9,4.64,-10.8
1991,1,0,-0.66,0,5.2,0.9,3.99,-9.92
1991,2,15.2,-1.14,68.3,1.2,0.9,15.56,-5.06
1991,3,24.5,-1.41,102,25.8,0.9,15.59,-1.86
1991,4,35.2,-1.28,124.8,37,0.9,19.91,4.01
1991,5,85,-0.93,159.2,89.5,0.9,26.3,10.57
1991,6,64.9,-1.04,207.2,68.3,0.9,32.23,16.27
1991,7,62.6,-0.89,220.3,65.9,0.9,34.53,17.58
1991,8,68.1,0.49,194.9,71.7,0.9,32.42,16.64
1991,9,23.5,-0.74,166.9,24.7,0.8,28.69,11.09
