"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 06/06/2023

Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 38.9792 North,-97.4792 East" 
Variable List: 
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
pet: pet (Grass Reference Evapotranspiration (ETo))
ppt: ppt (Precipitation)
soil: soil (Soil Moisture)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
********************************************************
Year,Month,aet(mm),PDSI(unitless),pet(mm),ppt(mm),soil(mm),tmax(degC),tmin(degC)
1958,1,9.5,0.17,9.5,22.8,12.6,6.01,-5.66
1958,2,0,0.7,0,39.2,12.6,2.91,-7.5
1958,3,25.3,1.64,25.3,71.9,60.7,5.4,-3.28
1958,4,94.4,2,102.7,36.1,47,17.6,4.94
1958,5,101.8,1.53,149.3,80.9,22.1,26,12.47
1958,6,113.1,1.22,185.5,112.1,15.5,30.27,16.37
1958,7,177.8,3.03,177.8,213.1,40.1,30.9,18.94
1958,8,80.2,3.01,178.6,64.3,21,32.45,18.62
1958,9,144.5,3.69,144.5,155.4,24.2,27.94,15.08
1958,10,31.7,2.71,114.7,25.2,16.4,22.8,7.02
1958,11,25.1,2.04,72.5,22.4,12.6,15.15,0.82
1958,12,6.5,1.64,6.5,8.9,12.6,5.81,-6.26
1959,1,0,1.52,0,17.7,12.6,1.8,-10.2
1959,2,4,1.44,4,15.2,13.4,5.13,-6.16
1959,3,75.3,1.15,96.8,46.4,10.8,14.58,-0.12
1959,4,27.8,-1.5,120.6,27.4,9.1,19.25,4.83
1959,5,141,1.09,141,171.2,30.7,25.33,13.22
1959,6,65.2,-0.72,190.1,56,18.7,31.29,17.67
1959,7,85.5,0.05,191.1,84.8,13.9,31.36,18.11
1959,8,56,-1.28,225.2,56,11.1,34.99,21.22
1959,9,94.6,-1.03,146.6,97.6,9.3,27.84,13.54
1959,10,90.5,1.31,90.5,129.1,41.4,18.5,5.49
1959,11,22,0.97,70,2,21.3,11,-3.87
1959,12,27,-0.59,46.4,21.9,15.1,9.54,-2.3
1960,1,0,0.95,0,40.9,15.1,2.18,-7.46
1960,2,0,1.74,0,48.5,15.1,1,-8.42
1960,3,3.5,2,3.5,34.9,20.8,4.2,-6.33
1960,4,130.5,2.38,130.5,57.7,54.1,20.8,7.56
1960,5,113.9,1.84,160.4,86.8,22.7,24.48,10.47
1960,6,130.5,1.91,165.3,130.1,15.7,28.97,16.73
1960,7,74.6,1.65,185.5,74.8,12.2,31.7,18.51
1960,8,129.8,2.31,194,134.3,10,32.85,19.09
1960,9,86.3,2.07,143.3,89.3,8.5,29.38,14.36
1960,10,67.7,2.03,97.2,70.1,7.4,22.03,8.2
1960,11,6.9,1.07,71.8,6.4,6.6,14.25,-0.56
1960,12,7.8,1.24,7.8,29.9,7,5.2,-5.42
1961,1,3.2,0.8,3.2,1.3,7,6.65,-8.6
1961,2,33.5,0.7,33.5,18,7,8.53,-4.08
1961,3,66.1,0.9,73.8,66.7,6.3,12.98,0.91
1961,4,48.3,-0.44,123.3,50.2,5.7,17.96,3.59
1961,5,137.1,1.1,137.1,169.9,29.9,22.52,10.39
1961,6,114,1.13,173.5,107.9,18.5,29.53,16.41
1961,7,85.9,0.98,202.5,85.4,13.7,33.1,19.21
1961,8,68.7,0.78,172.5,69.5,11,31.15,18.33
