"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 06/06/2023

Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 38.6875 North,-97.6042 East" 
Variable List: 
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
pet: pet (Grass Reference Evapotranspiration (ETo))
ppt: ppt (Precipitation)
soil: soil (Soil Moisture)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
********************************************************
Year,Month,aet(mm),PDSI(unitless),pet(mm),ppt(mm),soil(mm),tmax(degC),tmin(degC)
1958,1,13,0.11,13,22.1,9.8,6.34,-5.42
1958,2,0,0.65,0,43.6,9.8,2.91,-7.23
1958,3,21.3,1.68,21.3,78.2,58.2,5.06,-3.3
1958,4,98,1.95,100.6,38.7,54,17.28,5.12
1958,5,112.2,1.55,149.4,84.4,22,25.77,12.68
1958,6,115.4,1.23,187.4,114.4,15.3,30.27,16.61
1958,7,182.2,2.85,182.2,199.9,23,30.89,19.07
1958,8,63.3,2.61,180.8,58.9,15.7,32.32,18.64
1958,9,144.7,3.33,145,152.2,15.6,27.82,15.29
1958,10,25.4,2.35,113.9,23,12,22.56,7.19
1958,11,24.7,1.76,73.5,23.7,9.8,15.16,0.89
1958,12,6.8,1.42,6.8,10.1,9.8,5.77,-6.12
1959,1,0,1.29,0,15.7,9.8,1.81,-9.99
1959,2,5.6,1.22,5.6,16.9,11,5.35,-5.77
1959,3,69.9,0.86,98.6,42.9,9.2,14.75,-0.11
1959,4,30.1,-1.59,119.7,30.3,7.9,19.14,5.03
1959,5,141.3,1,141.3,166.5,24.8,25.23,13.4
1959,6,58.7,-0.83,188.9,53,16.4,30.95,17.8
1959,7,93.4,0.23,191.8,94.2,12.5,31.11,18.23
1959,8,61,-1.01,224.5,61.8,10.2,34.5,20.99
1959,9,88.4,-0.84,147.6,91.3,8.6,27.79,13.75
1959,10,90.3,1.32,90.3,130.7,42.4,18.5,5.6
1959,11,23.7,1.02,72.6,2.3,21,11.26,-3.64
1959,12,29,-0.48,45.9,24.1,14.8,9.45,-2.2
1960,1,0,0.69,0,40.1,14.8,2.52,-7.01
1960,2,0,1.59,0,57,14.8,1.06,-8.27
1960,3,5.5,1.81,5.5,33.6,23.3,4.51,-5.78
1960,4,130.6,2.02,130.6,56,56,20.65,7.82
1960,5,122.1,1.58,159.9,92.9,22.1,24.21,10.67
1960,6,120.6,1.48,167.2,119.8,15.3,28.95,17.02
1960,7,71.6,1.26,188,71.8,11.9,31.53,18.57
1960,8,129.8,2.04,196.5,134.4,9.7,32.72,19.18
1960,9,82.1,1.81,144.6,84.9,8.3,29.28,14.6
1960,10,78.3,2,97.9,81.3,7.2,21.95,8.34
1960,11,7.2,1.08,73.9,6.7,6.4,14.25,-0.25
1960,12,7,1.36,7,32.9,7.9,4.83,-5.19
1961,1,3.6,0.94,3.6,1.1,7.9,6.57,-8.28
1961,2,32.5,0.9,32.5,22,11.8,8.28,-3.96
1961,3,68.9,1.11,74.8,66.1,10.5,13.07,0.98
1961,4,53,0.63,122.7,54,8.8,17.89,3.84
1961,5,137.1,1.53,137.1,161.4,25,22.42,10.53
1961,6,107.9,1.39,171.6,104.6,16.5,29.15,16.49
1961,7,95.3,1.41,203.6,96.1,12.6,32.65,19.25
1961,8,76.6,1.41,170.4,78.1,10.2,30.57,18.44
1961,9,117.3,1.99,124.5,122.1,8.9,24.91,12
1961,10,74.2,2.03,104.4,76.8,7.7,21.97,7.05
1961,11,45,2.19,52.4,46.4,6.7,9.88,-0.33
1961,12,0,2.02,0,15.2,6.7,1.94,-7.8
1962,1,0,2.15,0,25.9,6.7,1.69,-9.88
1962,2,27.1,2.16,27.1,24.5,27.9,7.49,-4.02
1962,3,56.1,1.77,80.7,33.3,17.5,11.52,-1.96
1962,4,30.6,0.66,125.5,27.6,13.1,19.45,4.78
1962,5,76.9,-1.78,184.3,78.3,10.5,29.84,15.59
1962,6,157.6,-0.93,171.1,164.1,8.8,28.53,17.28
1962,7,131.6,1.4,192,137.3,7.6,31.63,19.58
